wpid,wpdobstr,wpdob
1157419,"August 23, 1949",1949-08-23
11832708,"May 31, 1955",1955-05-31
21077889,"December 28, 1953",1953-12-28
232595,"November 15, 1935",1935-11-15
26584033,"July 23, 1965",1965-07-23
3226861,4 May 1950,1950-05-04
34474220,1956 (age 67),1956
38021017,"October 6, 1964",1964-10-06
4146163,"January 12, 1948",1948-01-12
41706665,"January 17, 1958",1958-01-17
65318835,1946,1946
65659460,"July 15, 1961",1961-07-15
66068443,1952,1952
66392774,1975,1975
67855630,1962 (age 61),1962
