position,title
Q3911022,President
Q15041211,Prime Minister
Q2344709,Prime Minister of the Palestinian National Authority
Q113470520,Minister of Defence
Q5340906,Minister of Education
Q87401933,Minister of Endowments and Religious Affairs
Q113470524,Minister of Foreign Affairs
Q6030745,Minister of Information
Q99894834,Minister of Jerusalem Affairs
Q64912939,Minister of Local Government
Q100605583,Minister of Negotiations
Q70359193,Minister of Public Works and Housing
Q87743333,Minister of Social Development
Q108730496,Minister of Tourism and Antiquities
Q106522363,Minister of Women's Affairs
Q37202196,Minister of Youth and Sports
