item,itemLabel,position,positionLabel,start,psid
Q16192933,Mohammad Shtayyeh,Q15041211,Prime Minister of the State of Palestine,2019-04-13,Q16192933-573605f2-45b6-6ae2-6efd-da468a33b359
Q2895694,Riyad al-Maliki,Q113470524,Foreign Minister of State of Palestine,2019-04-13,Q2895694-bb61938d-4b68-24b5-c6d8-e255ee0a2492
Q96482147,Rula Maayah,Q108730496,Minister of Tourism and Antiquities,2019-04-13,Q96482147-e1c02b2b-46d8-f3fa-4eeb-a18e1f993108
Q99017695,Majdi al-Saleh,Q64912939,Minister of Local Government,2019-04-13,Q99017695-362e23f3-4a86-003b-d4a5-36b2ab782304
