who,position,began,ended
4146163,Interim President of the Palestinian National Authority (unrecognized Hamas government),19 October 2016 Disputed with Mahmoud Abbas,
4146163,Speaker of the Palestinian Legislative Council,2006-03-29,
4146163,Interim President of the Palestinian National Authority (unrecognized Hamas government),2009-01-15,2 June 2014 Disputed with Mahmoud Abbas
